created_at,text,location,retweeted,retweet_count
Sat Mar 21 19 55 01  0000 2020, freethelephants  har watts I didnt either  but here I am grateful my university is still offering an online platf  ,Nashville  TN,False,0
Sat Mar 21 19 54 24  0000 2020, cbarrett In STEM  mainly primary and secondary school mathematics education  Then how competitive maths are at uni  ,San Francisco  CA,False,0
Sat Mar 21 19 54 01  0000 2020,Jin Chi explains how coronavirus has disrupted lives and education in Chinaand also increasing the role of online  ,Washington  DC,False,2
Sat Mar 21 19 53 14  0000 2020, fraser brad Its almost like a fascist is taking the opportunity of having a global pandemic  amp  provincial state of  ,Treaty 7,False,0
Sat Mar 21 19 51 58  0000 2020,RT  CFabio7  I am very excited to announce that I have verbally committed to further my education and softball career at Furman University ,Plum  PA,False,13
Sat Mar 21 19 50 39  0000 2020, freethelephants  har watts Yes   amp  you are still very much getting that education you paid for  Just through anothe  ,Nashville  TN,False,0
Sat Mar 21 19 48 23  0000 2020, 94Scumbag Which kind of games are you playing mostly   Yeah I also tried the education stuff doing stuff for uni  ,Germany,False,0
Sat Mar 21 19 46 48  0000 2020,RT  OpenUniversity  Transitioning to a new way of studying Our students and alumni share their top tips for learning online   ,Scotland,False,37
Sat Mar 21 19 46 35  0000 2020,RT  kerrywekelo   Education is the most powerful weapon which you can use to change the world    Nelson Mandela via Tip Kuppler of Culture,Houston  TX,False,2
Sat Mar 21 19 46 26  0000 2020,UTMErequirements forEducation and Chemistry in V   Twitter  UTME C2 A0requirements 20for  ,Lagos  Nigeria,False,0
Sat Mar 21 19 46 21  0000 2020,RT  smcblackburn  Have you thought about taking the step from College into Higher Education Lauren started her SMC journey as a Sixth For,Stockport  Preston  St Helens  Lewisham  Bury  Manchester  Leeds  Bristol  Blackburn  Wigan  London ,False,1
Sat Mar 21 19 45 54  0000 2020,RT  J14Magazine  They decided to put their careers on hold to focus on their education instead   ,Bronx  NY,False,2
Sat Mar 21 19 45 38  0000 2020,RT  LRitch27  Im honored and excited to announce my commitment to further my education and hockey career at St  Lawrence University  Thank,North Branch  Minnesota,False,60
Sat Mar 21 19 43 19  0000 2020,RT  wch33  Was just wondering  what university did US News and World Report of Best Graduate Schools rank as Number 1 in Education Supervis,,False,12
Sat Mar 21 19 43 11  0000 2020,RT  DawsonLinder  Im excited to announce I will be continuing my education and baseball career at the University of Louisiana Monroe  Than,405,False,45
Sat Mar 21 19 42 38  0000 2020,RT  z72mohamed  We  university students  demand the cancellation of the second term  Our health is more important than education  We come f,,False,8
Sat Mar 21 19 41 37  0000 2020,RT  allisonl  Are you a university teacher  Have you just moved your teaching online  Here is a course led by  CliveYoungUCL  UCLDigiEd off,University of Edinburgh Oxford,False,20
Sat Mar 21 19 40 04  0000 2020,RT  Cisco  You don t need a campus to  collaborate  See how students and teachers keep collaborating with  Webex   R,,False,16
Sat Mar 21 19 39 47  0000 2020,RT  beikohm12  We university students demand the cancellation of the second term Our health is more important than education We come from a,,False,7
Sat Mar 21 19 39 09  0000 2020,I didn t realize ASU had a clown for their University President learn something new every day   ,Berea  OH,False,0
Sat Mar 21 19 38 35  0000 2020, mike hamm  DAmerican66  prageru  thewillwitt Also worth noting Prager is anti science  authority  and education  W  ,Hawaii  USA,False,0
Sat Mar 21 19 37 36  0000 2020,RT  jasebyjason  Feel sorry for those final year school and university students who havent gotten to say a proper goodbye to their friends,,False,3138
Sat Mar 21 19 37 18  0000 2020,RT  hrdbacot  Yang lagi kuliah yang kerjaannya harus pake referensi textbook Cambridge University Press is making higher education textbo,,False,439
Sat Mar 21 19 36 12  0000 2020,RT  jasebyjason  Feel sorry for those final year school and university students who havent gotten to say a proper goodbye to their friends,,False,3138
Sat Mar 21 19 34 50  0000 2020,RT  esther haydock  This might be a good time to do this Open University course   OpenUniversity  OnlineTeaching  TeachingOnline  edutwitte,,False,6
Sat Mar 21 19 34 22  0000 2020,RT  PalomaReinosoMD  My heart   Love this story of  almost  Dr  Anderson Carter who matched  WiscObGyn  who is AMAZING  So proud of all,Chicago  IL,False,5
